stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
416,WILBRKWN,Wilshire Wb & Berkeley Ns,3100 Wilshire Blvd & Berkeley St,34.0399875,-118.4727383,,,,
417,WILYLEWN,Wilshire Wb & Yale Ns,2900 Wilshire Blvd & Yale St,34.0383615,-118.4745568,,,,
418,WIL026WN,Wilshire Wb & 26Th Ns,2600 Wilshire Blvd & 26Th St,34.0362983,-118.4773334,,,,
419,WIL024WN,Wilshire Wb & 24Th Ns,2400 Wilshire Blvd & 24Th St,34.0342585,-118.4798122,,,,
420,WIL022WN,Wilshire Wb & 22Nd Ns,2200 Wilshire Blvd & 22Nd St,34.0329082,-118.4814534,,,,
421,WIL020WN,Wilshire Wb & 20Th Ns,2000 Wilshire Blvd & 20Th St,34.0316234,-118.4831543,,,,
422,020WILSF,20Th Sb & Wilshire Fs,1200 20Th St & Wilshire Blvd,34.0311548,-118.4830434,,,,
423,020ARZSN,20Th Sb & Arizona Ns,1200 20Th St & Arizona Ave,34.0301375,-118.4818431,,,,
424,WIL018WN,Wilshire Wb & 18Th Ns,1800 Wilshire Blvd & 18Th St,34.0300781,-118.4850667,,,,
425,WIL016WN,Wilshire Wb & 16Th Ns,1600 Wilshire Blvd & 16Th St,34.0285887,-118.4868737,,,,
426,WILLINWN,Wilshire Wb & Lincoln Ns,800 Wilshire Blvd & Lincoln Blvd,34.0224358,-118.4944832,,,,
427,WIL006WN,Wilshire Wb & 6Th Ns,600 Wilshire Blvd & 6Th St,34.0208432,-118.4963607,,,,
428,LINWILSN,Lincoln Sb & Wilshire Ns,1100 Lincoln Blvd & Wilshire Blvd,34.0223341,-118.4948013,,,,
430,004BWYSN,4Th Sb & Broadway Ns,1400 4Th St & Broadway,34.015149,-118.4937627,,,,
431,004BWYNN,4Th Nb & Broadway Ns,1500 4Th St & Broadway,34.0150203,-118.4933625,,,,
432,004ARZNF,4Th Nb & Arizona Fs,1200 4Th St & Arizona Ave,34.0179525,-118.496885,,,,
439,OPR004WF,Ocean Park Wb & 4Th Fs,400 Ocean Park Blvd & 4Th St,34.0039063,-118.4818156,,,,
440,OPR004EF,Ocean Park Eb & 4Th Fs,400 Ocean Park Blvd & 4Th St,34.0040107,-118.4810053,,,,
441,MNSPCONF,Main Nb & Pico Fs,1800 Main St & Pico Blvd.,34.0083178,-118.4897536,,,,
452,RIVWNDNF,Riviera Nb & Windward Fs,1300 Riviera Ave & Windward Ave,33.9895345,-118.4694585,,,,
453,WSMABKNN,Westminster Nb & Abbot Kinney Ns,300 Westminster Ave & Abbot Kinney Blvd,33.991684,-118.4706853,,,,
455,CLLSHLEN,California Eb & Shell Ns,600 California Ave & Shell Ave,33.9929426,-118.4644297,,,,
456,CLLOAKEN,California Eb & Oakwood Ns,700 California Ave & Oakwood Ave,33.9946463,-118.4632379,,,,
457,CLLLDNEN,California Eb & Linden Ns,900 California Ave & Linden Ave,33.9963131,-118.4621109,,,,
458,CLLLINEN,California Eb & Lincoln Ns,900 California Ave & Lincoln Blvd,33.9978427,-118.4610104,,,,
459,SPBLINEF,Superba Eb & Lincoln Fs,1000 Superba Ave & Lincoln Blvd,33.9966042,-118.457291,,,,
460,LINSPBNN,Lincoln Nb & Superba Ns,1800 Lincoln Blvd & Superba Ave,33.996357,-118.4572722,,,,
462,SPBPNMEN,Superba Eb & Penmar Ns,1100 Superba Ave & Penmar Ave,33.9997642,-118.455075,,,,
463,VICPNMEF,Victoria Eb & Penmar Fs,1200 Victoria Ave & Penmar Ave,33.9976309,-118.4529299,,,,
464,VICLOUEN,Victoria Eb & Louella Ns,1300 Victoria Ave & Louella Ave,33.9989152,-118.4504798,,,,
465,VENGLYWN,Venice Wb & Glyndon Ns,1400 N Venice Blvd & Glyndon Ave,33.9960158,-118.4491454,,,,
466,VENLINWN,Venice Wb & Lincoln Ns,1100 N Venice Blvd & Lincoln Blvd,33.9942998,-118.45262,,,,
467,CLLLINWF,California Wb & Lincoln Fs,900 California Ave & Lincoln Blvd,33.9976321,-118.4612755,,,,
468,LINZNJNN,Lincoln Nb & Zanja Ns,2500 Lincoln Blvd & Zanja St,33.9922887,-118.4492662,,,,
469,LINVENNN,Lincoln Nb & Venice Ns,2400 Lincoln Blvd & Venice Blvd,33.993907,-118.4522767,,,,
470,LINPLMNN,Lincoln Nb & Palms Ns,1600 Lincoln Blvd & Palms Blvd,33.9971331,-118.4589645,,,,
473,LINPLMSN,Lincoln Sb & Palms Ns,1500 Lincoln Blvd & Palms Blvd,33.9970889,-118.4592658,,,,
474,LINSPNSN,Lincoln Sb & Superba Ns,1800 Lincoln Blvd & Superba Ave,33.9964235,-118.4578434,,,,
475,LINVICSN,Lincoln Sb & Victoria Ns,2100 Lincoln Blvd & Victoria Ave,33.9950811,-118.455083,,,,
476,LINVENSN,Lincoln Sb & Venice Ns,2300 Lincoln Blvd & N Venice Blvd,33.9942175,-118.4532581,,,,
477,LINCDASF,Lincoln Sb & Couer D'Alene Fs,2400 Lincoln Blvd & Coeur D Alene Ave,33.9930847,-118.4509636,,,,
478,CLLLDNWF,California Wb & Linden Fs,900 California Ave & Linden Ave,33.9963376,-118.4621713,,,,
479,CLLOAKWN,California Wb & Oakwood Ns,700 California Ave & Oakwood Ave,33.9949202,-118.4631706,,,,
480,CLLSHLWN,California Wb & Shell Ns,600 California Ave & Shell Ave,33.9931517,-118.4644084,,,,
481,CLLV06WN,California Wb & 6Th Ave (Venice) Ns,600 California Ave & 6Th Ave,33.9914545,-118.4655361,,,,
485,WSMABKSF,Westminster Sb & Abbot Kinney Fs,400 Westminster Ave & Abbot Kinney Blvd,33.9915903,-118.4708499,,,,
486,PCOMTRWF,Pico Wb & Motor Fs,10100 W Pico Blvd & Motor Ave,34.0500106,-118.4108775,,,,
487,PCOAVSWN,Pico Wb & Ave Of The Stars Ns,10100 W Pico Blvd & Ave Of The Stars,34.0514788,-118.4083293,,,,
488,PCOMTREN,Pico Eb & Motor Ns,10100 W Pico Blvd & Motor Ave,34.0497882,-118.4108756,,,,
489,PCOAVSEN,Pico Eb & Ave Of The Stars Ns,10100 W Pico Blvd & Ave Of The Stars,34.051,-118.4087688,,,,
490,BUNSMOSF,Bundy Sb & Airport Fs,3100 S Bundy Dr & S Centinela Ave,34.0164902,-118.4434425,,,,
491,CENRSESF,Centinela Sb & Rose Fs,3200 S Centinela Ave & Rose Ave,34.0144991,-118.4419217,,,,
492,CENRSENN,Centinela Nb & Rose Ns,3200 S Centinela Ave & Rose Ave,34.0147134,-118.4418264,,,,
493,BUNSMONN,Bundy Nb & Airport Ns,3100 S Bundy Dr & Airport Ave,34.01708,-118.4436415,,,,
494,CENWPLNM,Centinela Nb & Washington Place Mb,4000 S Centinela Ave & Washington Pl,33.9987,-118.4296383,,,,
495,CENBRBNF,Centinela Nb & Barbara Fs,3900 S Centinela Ave & Barbara Ave,34.0016652,-118.4319218,,,,
496,CENWPLSN,Centinela Sb & Washington Place Ns,4000 S Centinela Ave & Washington Pl,33.9996821,-118.4306748,,,,
497,CENBRBSN,Centinela Sb & Barbara Ns,3900 S Centinela Ave & Barbara Ave,34.0015762,-118.4321157,,,,
498,WALCENEF,Washington Blvd Eb & Centinela Fs,12200 Washington Blvd & S Centinela Ave,33.9969076,-118.4279293,,,,
499,LINCLSNF,Lincoln Nb & California (Sm) Fs,1000 Lincoln Blvd & California Ave,34.0237392,-118.4963265,,,,
500,LINWASNF,Lincoln Nb & Washington (Sm) Fs,900 Lincoln Blvd & Washington Ave,34.025108,-118.4979,,,,
501,LINCLSSF,Lincoln Sb & California (Sm) Fs,1100 Lincoln Blvd & California Ave,34.0233323,-118.4959083,,,,
502,004WASSF,4Th Sb & Washington Fs,1000 4Th St & Washington Ave,34.02166,-118.5013327,,,,
503,004CLSSN,4Th Sb & California Ns,1100 4Th St & California Ave,34.020615,-118.5000768,,,,
504,004CLSNF,4Th Nb & California Fs,1100 4Th St & California Ave,34.0207704,-118.5000826,,,,
505,004WASNF,4Th Nb & Washington Fs,1000 4Th St & Washington Ave,34.0220619,-118.5016493,,,,
506,006WASSN,6Th Sb & Washington Ns,1000 6Th St & Washington Ave,34.0234547,-118.4998019,,,,
507,006CLSSN,6Th Sb & California Ns,1000 6Th St & California Ave,34.0221365,-118.498191,,,,
508,006WILSN,6Th Sb & Wilshire Ns,1100 6Th St & Wilshire Blvd,34.0207809,-118.4965931,,,,
509,006CLSNN,6Th Nb & California Ns,1100 6Th St & California Ave,34.0219743,-118.497836,,,,
510,006WASNN,6Th Nb & Washington Ns,1000 6Th St & Washington Ave,34.0233392,-118.4994627,,,,
511,006WILNF,6Th Nb & Wilshire Fs,1100 6Th St & Wilshire Blvd,34.0208886,-118.4965661,,,,
512,RIVWNDSN,Riviera Sb & Windward Ns,1300 Riviera Ave & Windward Ave,33.9893968,-118.4694647,,,,
